Jeffrey Adler Canada 101 ;20th (11:55); ;8th (11:55); ;27th (11:55); ;46th (11:55);
Scott Panchik ;United States; 141 ;33rd (12:25); ;47th (12:25); ;5th (12:25); ;56th (12:25);
Travis Mead ;United States; 165 ;87th (13:02); ;24th (13:02); ;48th (13:02); ;6th (13:02);
Saxon Panchik ;United States; 217 ;5th (11:25); ;68th (11:25); ;87th (11:25); ;57th (11:25);
Richard ;Froning Jr.; ;United States; 254 ;58th (12:45); ;91st (12:45); ;5th (12:45); ;100th (12:45);
Noah Ohlsen ;United States; 272 ;11th (11:41); ;21st (11:41); ;2nd (11:41); ;238th (11:41);
Samuel Cournoyer Canada 276 ;158th (13:27); ;79th (13:27); ;20th (13:27); ;19th (13:27);
Cole Greashaber ;United States; 403 ;82nd (13:01); ;68th (13:01); ;46th (13:01); ;207th (13:01);
Agustin Richelme Argentina 417 ;30th (12:19); ;137th (12:19); ;1st (12:19); ;249th (12:19);
Oleg Lascenko ;United Kingdom; 428 ;53rd (12:43); ;22nd (12:43); ;102nd (12:43); ;251st (12:43);
Cédric Lapointe Canada 454 ;62nd (12:49); ;9th (12:49); ;27th (12:49); ;356th (12:49);
Giorgos Karavis Greece 510 ;207th (13:40); ;42nd (13:40); ;138th (13:40); ;123rd (13:40);
Stas Solodov ;Russian Federation; 548 ;111th (13:14); ;2nd (13:14); ;67th (13:14); ;368th (13:14);
Jonne Koski Finland 564 ;1st (11:08); ;109th (11:08); ;25th (11:08); ;429th (11:08);
Elliot Simmonds ;United Kingdom; 582 ;308th (13:57); ;36th (13:57); ;68th (13:57); ;170th (13:57);
Logan Collins ;United States; 589 ;53rd (12:43); ;358th (12:43); ;15th (12:43); ;163rd (12:43);
Jay Crouch Australia 611 ;9th (11:40); ;50th (11:40); ;18th (11:40); ;534th (11:40);
Colten Mertens ;United States; 621 ;248th (13:47); ;3rd (13:47); ;15th (13:47); ;355th (13:47);
Jayson Hopper ;United States; 630 ;308th (13:57); ;165th (13:57); ;132nd (13:57); ;25th (13:57);
Patrick Vellner Canada 638 ;47th (12:39); ;13th (12:39); ;4th (12:39); ;574th (12:39);
Alex Kotoulas Greece 642 ;23rd (12:05); ;12th (12:05); ;30th (12:05); ;577th (12:05);
Brent Fikowski Canada 644 ;15th (11:48); ;41st (11:48); ;231st (11:48); ;357th (11:48);
Hunter Holifield ;United States; 702 ;230th (13:44); ;242nd (13:44); ;127th (13:44); ;103rd (13:44);
Cody Anderson ;United States; 708 ;117th (13:17); ;312th (13:17); ;64th (13:17); ;215th (13:17);
Mitch Wagner ;United States; 708 ;134th (13:23); ;111th (13:23); ;94th (13:23); ;369th (13:23);
Phil Toon ;United States; 741 ;572nd (14:28); ;87th (14:28); ;58th (14:28); ;24th (14:28);
Aleksandar Ilin ;Russian Federation; 748 ;649th (14:35); ;18th (14:35); ;44th (14:35); ;37th (14:35);
Joshua Al-chamaa ;United Kingdom; 749 ;62nd (12:49); ;79th (12:49); ;563rd (12:49); ;45th (12:49);
Frederik Aegidius Denmark 749 ;100th (13:08); ;95th (13:08); ;124th (13:08); ;430th (13:08);
Spencer Panchik ;United States; 753 ;8th (11:37); ;156th (11:37); ;40th (11:37); ;549th (11:37);
Fabian Beneito Spain 769 ;238th (13:45); ;181st (13:45); ;100th (13:45); ;250th (13:45);
Sean Gordon ;United States; 807 ;154th (13:26); ;55th (13:26); ;48th (13:26); ;550th (13:26);
Khan Porter Australia 812 ;182nd (13:35); ;63rd (13:35); ;313th (13:35); ;254th (13:35);
Lazar Đukić Serbia 817 ;413th (14:10); ;15th (14:10); ;23rd (14:10); ;366th (14:10);
Michael McKenna ;United States; 817 ;134th (13:23); ;270th (13:23); ;299th (13:23); ;114th (13:23);
Lukas Grouleff Denmark 834 ;82nd (13:01); ;168th (13:01); ;8th (13:01); ;576th (13:01);
Nick Mathew ;United States; 850 ;119th (13:18); ;274th (13:18); ;284th (13:18); ;173rd (13:18);
Reggie Fasa ;United Kingdom; 854 ;689th (14:39); ;5th (14:39); ;102nd (14:39); ;58th (14:39);
Tyler Christophel ;United States; 864 ;629th (14:33); ;54th (14:33); ;80th (14:33); ;101st (14:33);
Lucas Heuze France 868 ;94th (13:05); ;168th (13:05); ;174th (13:05); ;432nd (13:05);
Cole Sager ;United States; 888 ;387th (14:07); ;287th (14:07); ;68th (14:07); ;146th (14:07);
Brandon Luckett ;United States; 889 ;24th (12:06); ;95th (12:06); ;58th (12:06); ;712th (12:06);
Mitchel Stevenson ;United States; 901 ;13th (11:46); ;25th (11:46); ;54th (11:46); ;809th (11:46);
Connor Duddy ;United States; 951 ;177th (13:34); ;274th (13:34); ;39th (13:34); ;461st (13:34);
Joshua Gervais Canada 959 ;64th (12:50); ;105th (12:50); ;531st (12:50); ;259th (12:50);
Guillaume Briant France 963 ;325th (13:59); ;242nd (13:59); ;29th (13:59); ;367th (13:59);
Scott Tetlow ;United States; 1010 ;276th (13:51); ;4th (13:51); ;19th (13:51); ;711th (13:51);
Andrew Hiller ;United States; 1012 ;161st (13:28); ;287th (13:28); ;102nd (13:28); ;462nd (13:28);
Taylor Self ;United States; 1056 ;161st (13:28); ;13th (13:28); ;62nd (13:28); ;820th (13:28);
Vincent Buttitta ;United States; 1060 ;325th (13:59); ;37th (13:59); ;235th (13:59); ;463rd (13:59);
